PLAYER;TEAM;DIV;POS;BORN;GP;MP;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;PER
Jonathan Deutsch;Niners Chemnitz Academy;A;Combo;2007;1;3.6;0.0;110.4;-110.4;-4.5;0.0;-4.5;0.0;0.0;0.0;0.0;-0.03;0.0
#4Bremerhaven;Eisbären Bremerhaven;A;Wing;1900;1;1.8;0.0;122.5;-122.5;-4.7;0.0;-4.7;0.0;0.0;0.0;0.0;-0.12;0.0
Anton Papenbreer;Basketball Löwen Erfurt;B;Forward;2006;4;41.5;48.0;86.9;-38.9;-4.2;-0.3;-4.5;-0.4;-0.1;0.1;0.0;-0.02;0.0
Ben Hebling;KICKZ IBAM;A;Combo;2007;4;18.7;42.5;93.9;-51.4;-4.5;0.1;-4.4;-0.1;-0.1;0.0;-0.1;-0.21;-0.2
Roberts Spikis;Basketball Löwen Erfurt;B;Forward;2006;4;74.2;49.7;89.2;-39.5;-5.2;-0.9;-6.1;-1.2;-0.3;0.0;-0.3;-0.15;-0.3
Clemens Bialas;Baskets Paderborn;A;Combo;2008;4;50.5;63.8;104.8;-41.0;-5.2;-1.3;-6.5;-1.1;-0.3;0.0;-0.3;-0.22;-0.3
Niklas Zwanziger;Bamberg freakcity academy;A;Forward;2007;4;31.0;62.6;118.0;-55.4;-4.7;0.3;-4.5;-0.2;-0.1;-0.1;-0.1;-0.14;-0.4
Armin Nahreyni;Bayer Giants Leverkusen;A;Combo;2006;1;11.2;38.5;51.9;-13.4;-4.7;0.1;-4.6;-0.1;-0.1;0.1;0.0;0.04;-0.4
Matteo Schultz;Medipolis SC Jena;A;Point;2007;1;10.5;68.6;83.5;-14.9;-4.7;-0.4;-5.2;-0.3;0.0;0.0;0.0;-0.01;-0.7
#7Tornados;Tornados Franken;B;Wing;1900;1;16.9;57.0;99.0;-42.0;-4.1;-0.3;-4.4;-0.1;-0.1;0.0;-0.1;-0.18;-0.9
Dominik Kostic;BBA Giants Kornwestheim;B;Wing;2005;8;113.7;49.0;102.9;-53.9;-5.9;0.1;-5.9;-1.3;-0.7;0.1;-0.7;-0.24;-0.9
Jericho Richter;Eisbären Bremerhaven;A;Combo;2006;8;105.1;39.3;97.5;-58.2;-6.4;0.1;-6.3;-1.4;-0.6;0.0;-0.5;-0.20;-1.0
Schilo Kabongo;Bayer Giants Leverkusen;A;Combo;2006;2;19.5;41.1;83.0;-41.9;-4.5;0.4;-4.1;-0.1;-0.1;0.1;0.0;-0.07;-1.0
Jonatan Kunze;Niners Chemnitz Academy;A;Combo;2005;7;48.7;66.9;117.5;-50.5;-4.6;0.0;-4.6;-0.4;-0.1;-0.1;-0.2;-0.13;-1.0
Ben Longerich;BBA Hagen;B;Combo;2006;7;146.2;53.6;109.4;-55.8;-4.8;-0.6;-5.5;-1.4;-0.6;-0.2;-0.8;-0.22;-1.0
Deniz Tasci;ratiopharm Ulm;B;Forward;2005;4;32.5;48.8;83.9;-35.1;-3.6;-0.1;-3.7;0.0;-0.1;0.1;0.0;-0.04;-1.2
Namik Muratovic;FC Bayern München;A;Forward;2008;3;19.9;29.8;102.7;-72.9;-4.1;0.3;-3.7;0.1;-0.1;0.0;-0.1;-0.14;-1.4
Piet Jaffke;Metropol Baskets Ruhr;B;Combo;2006;6;73.5;50.2;90.8;-40.6;-2.9;-0.7;-3.6;-0.2;-0.3;0.1;-0.2;-0.13;-1.8
Tim Heineke;USC Heidelberg;B;Combo;2006;4;27.3;40.1;98.4;-58.4;-4.2;0.0;-4.2;-0.1;-0.1;0.0;-0.1;-0.21;-2.3
Jonte Elias Heßling;Eisbären Bremerhaven;A;Point;2006;2;48.7;41.8;107.0;-65.1;-5.3;0.1;-5.1;-0.7;-0.4;0.0;-0.4;-0.33;-2.3
Aaron Duparrè;Basketball Löwen Erfurt;B;Wing;2007;2;16.6;30.4;103.4;-73.0;-4.6;-0.2;-4.8;-0.2;-0.1;0.0;-0.1;-0.28;-2.4
Darren Maglocky;Eintracht Frankfurt;B;Wing;2007;5;36.0;35.4;75.3;-40.0;-4.0;0.2;-3.8;0.0;-0.2;0.1;-0.1;-0.07;-2.6
Jan Pötzsch;Team Südhessen;B;Forward;2005;7;43.5;9.9;97.8;-87.9;-3.8;0.5;-3.4;0.1;-0.1;0.0;-0.1;-0.10;-2.7
Gido Nanninga;Baskets Juniors Oldenburg;A;Forward;2006;6;36.2;50.2;79.8;-29.6;-5.4;-0.4;-5.8;-0.7;-0.3;0.2;-0.1;-0.12;-2.8
Dennis Welther;BBA Giants Kornwestheim;B;Point;2007;3;32.3;37.7;115.1;-77.4;-3.8;-0.1;-3.9;-0.1;-0.1;0.0;-0.1;-0.17;-3.0
Anton Beuermann;ART Giants Düsseldorf;B;Wing;2006;5;32.8;47.4;128.8;-81.4;-5.2;0.0;-5.2;-0.5;-0.1;-0.1;-0.2;-0.29;-3.0
Elias Adeola;TS Jahn München;B;Wing;2006;2;9.5;42.1;93.2;-51.1;-4.3;0.0;-4.3;0.0;-0.1;0.0;-0.1;-0.24;-3.9
Kalender Kalender;SG Junior Löwen Braunschweig;B;Point;2007;5;14.8;13.0;77.2;-64.2;-4.6;0.3;-4.2;0.0;-0.1;0.1;-0.1;-0.17;-4.0
René Uhlmann;Metropol Baskets Ruhr;B;Forward;2005;1;4.1;50.9;89.3;-38.5;-4.5;-0.1;-4.6;0.0;0.0;0.0;0.0;-0.07;-4.3
Noah-Su Drisch;Metropol Baskets Ruhr;B;Point;2007;3;17.5;0.0;99.3;-99.3;-4.0;0.3;-3.7;0.1;0.0;0.0;-0.1;-0.12;-4.3
Leander Klugmann;Orange Academy;B;Combo;2007;4;37.9;48.7;111.8;-63.1;-3.6;-0.5;-4.0;-0.2;-0.1;0.0;-0.1;-0.14;-4.4
Thai Bui;Niners Chemnitz Academy;A;Point;2007;2;10.7;63.7;136.7;-73.0;-5.0;-0.3;-5.3;-0.3;0.0;0.0;-0.1;-0.34;-4.4
