PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Noah Palumbo;Bayer Giants Leverkusen;A;Combo;2006;2;5.1;0;0;0;0;0;0;0;-1;0;0
Lennart Tröppner;Team Urspring;A;Wing;2007;3;4.8;0;0;0;0;0;0;0;-1;0;0
Roman Geyer;Tornados Franken;A;Combo;2007;1;3.1;0;0;0;0;0;1;1;-1;0;0
Jakob Baur;Team Urspring;A;Point;2006;1;1.9;0;0;0;1;0;0;1;1;0;0
Lasse Kuprella;Bayer Giants Leverkusen;A;Forward;2007;1;1.4;0;0;0;0;0;0;0;0;0;0
Noah Liem;UBC Münster;A;Forward;2006;1;2.7;0;1;0;0;0;0;0;-1;0;0
Djibril Jeremias Claus;Sartorius Juniors;A;Wing;2006;1;0.5;0;0;0;0;0;0;0;0;0;0
Lennox Groh;UBC Münster;A;Forward;2006;2;5.4;0;1;0;0;0;0;1;-1;0;0
Mateja Pivnicki;Team Urspring;A;Combo;2007;1;2.3;0;0;0;0;0;0;0;-1;0;0
Domenico-Germaine Hansmeier;Baskets Paderborn;A;Combo;2006;3;9.1;0;0;0;0;0;0;1;-1;0;0
Julian Haskins;Eintracht Frankfurt;A;Big;2005;2;6.5;0;0;0;0;1;2;3;-2;0;0
Kaloyan Iskrenov Lozanov;Team Urspring;A;Combo;2007;3;7.8;0;1;2;0;0;1;7;1;0;0
Jonas Groß;Young Rasta Dragons;A;Combo;2005;1;10.4;0;2;0;2;0;2;2;-1;0;0
Linus Jürgens;Baskets Paderborn;A;Forward;2006;3;14.4;0;4;1;0;1;2;0;0;0;0
Lazar Jalovi;Tornados Franken;A;Wing;2007;1;2.5;0;1;0;1;0;1;0;1;0;0
Enes Redzepovic;Sartorius Juniors;A;Big;2005;1;5.6;0;2;0;0;0;0;1;1;0;0
Leonard Kant;Porsche BBA Ludwigsburg;A;Big;2007;1;1.4;0;1;0;0;0;0;0;0;0;0
Mihailo Drinic;Tornados Franken;A;Combo;2006;1;1.9;0;0;0;0;0;0;0;0;0;0
Djordje Klaric;Baskets Juniors Oldenburg;A;Point;2009;1;4.0;0;0;0;0;0;0;0;-1;0;0
Ole Werker;Bayer Giants Leverkusen;A;Forward;2006;3;16.2;0;2;0;0;0;0;1;-2;0;0
Ben Denkena;Baskets Juniors Oldenburg;A;Point;2005;3;20.4;0;3;3;1;0;4;1;2;0;0
Harun Fakhro;Berlin Braves Baskets;A;Combo;2007;1;1.7;0;0;0;0;0;1;0;-1;0;0
Plaza Reino Mateo;Tornados Franken;A;Point;2005;1;1.8;0;0;0;1;0;1;0;-1;0;0
Tidiane Ly;Berlin Braves Baskets;A;Big;2006;1;1.6;0;1;0;0;0;0;0;1;0;0
Erik Niggemann;UBC Münster;A;Point;2007;1;11.1;0;0;1;2;0;1;0;-1;0;0
Lukas Schütz;Porsche BBA Ludwigsburg;A;Combo;2007;1;1.8;0;0;0;0;0;0;0;0;0;0
Laurens Rieping;UBC Münster;A;Combo;2007;1;2.7;0;0;0;0;0;0;0;-1;0;0
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
