PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE
Kai Müsse;ROTH Energie BBA GIESSEN 46ers;A;Big;2006;13;25.0;10.1;8.2;0.8;0.3;0.8;2.4;3.5;13.8;24.4;8.0
Milio-Leandro Stein;SG Junior Löwen Braunschweig;B;Point;2005;6;23.5;10.0;1.5;1.2;2.3;0.2;0.8;2.5;11.5;31.4;9.0
Paul Nickola;Würzburg Baskets Akademie;B;Combo;2005;4;23.4;10.0;2.3;3.5;1.3;0.8;1.0;2.0;11.8;29.2;8.1
Neo Krizanovic;Bamberg freakcity academy;A;Combo;2006;9;28.4;10.0;2.9;2.2;1.2;0.1;3.8;3.3;4.6;9.9;0.7
Elias Earls;BBA Giants Kornwestheim;B;Wing;2006;4;23.2;10.0;2.8;1.0;0.8;0.8;2.0;2.8;6.8;18.2;2.9
Darren Egbe;Hamburg Towers;A;Point;2007;11;21.2;10.0;1.4;2.0;1.8;0.1;2.8;3.5;6.8;20.8;3.6
Dyami Janeck;Team Bonn/Rhöndorf;B;Combo;2005;11;21.6;10.0;3.8;3.2;1.6;0.2;3.3;2.8;9.5;23.3;7.2
Eric-Stéphane Nkoué;HAKRO Merlins Crailsheim;B;Forward;2007;8;29.0;10.0;6.0;1.9;2.1;1.0;5.1;2.0;6.1;9.6;3.8
Giuseppe Seggio;VfL Kirchheim Knights;B;Forward;2005;13;28.1;10.0;6.8;1.8;1.0;0.3;2.6;2.6;9.6;16.5;6.1
Fynn Dobiecki;Team Bonn/Rhöndorf;B;Forward;2007;3;18.2;10.0;4.7;1.7;1.3;0.7;1.7;1.3;10.7;37.3;9.6
Luis Ohrmann;BBA Hagen;B;Combo;2008;6;28.2;9.8;3.0;2.7;0.7;0.5;4.0;2.8;7.0;13.2;4.4
Julius Hoffmann;USC Heidelberg;B;Combo;2005;9;27.4;9.8;4.6;2.8;2.3;0.1;2.8;2.0;10.4;20.1;7.4
Colin Schroeder;Baskets Juniors Oldenburg;A;Forward;2006;13;17.7;9.8;5.5;1.1;0.8;0.6;1.3;2.5;11.9;35.2;8.5
Barna Gergö Buglyo;ratiopharm Ulm;B;Forward;2006;11;21.6;9.7;4.9;1.6;1.3;0.3;1.5;1.6;11.5;28.2;8.4
Johann Grau;Medipolis SC Jena;A;Big;2007;13;21.1;9.7;7.4;1.4;0.8;0.4;1.5;2.1;11.8;28.4;7.3
Jasper Brand;Sartorius Juniors;B;Forward;2005;11;18.8;9.6;4.0;2.0;1.0;0.5;0.6;2.0;11.3;31.7;7.9
Malte Schröder;Metropol Baskets Ruhr;B;Wing;2005;8;20.5;9.6;3.1;0.8;1.4;0.6;2.0;2.0;9.3;22.5;6.4
Clemens Weinmar;Dresden Titans;B;Big;2005;8;27.2;9.6;8.3;1.1;0.5;2.1;2.6;1.8;12.1;21.7;9.7
Oumar Bamba;Team Bonn/Rhöndorf;B;Big;2006;10;16.4;9.6;10.5;0.2;1.0;0.9;3.3;4.0;14.9;37.2;10.1
Nico Hirtl;TS Jahn München;B;Point;2005;10;26.1;9.5;2.9;4.4;2.8;0.0;4.4;2.5;7.9;17.4;5.9
Jonas Creutz;Dresden Titans;B;Combo;2005;9;25.3;9.4;3.6;1.3;1.1;0.0;3.1;2.6;6.7;14.7;4.9
Olisaemeka Williams Itumo;KICKZ IBAM;A;Big;2007;14;20.7;9.4;6.0;0.3;0.5;0.7;1.7;3.2;11.4;27.4;6.3
Pepe Lahr;Team Südhessen;B;Combo;2005;10;19.9;9.4;4.0;2.4;2.4;0.1;3.4;2.0;10.8;27.2;9.1
Damarae Osazuwa Simson;Eisbären Bremerhaven;A;Combo;2007;12;27.7;9.3;3.3;2.2;1.4;0.2;6.3;2.3;3.3;4.8;0.6
Eren Simbil;Alba Berlin;A;Combo;2005;3;18.8;9.3;2.3;1.3;1.7;0.0;3.0;2.3;8.0;21.0;6.0
Zoran Milicic;ratiopharm Ulm;B;Point;2006;11;21.1;9.3;2.5;2.3;2.5;0.1;2.5;2.3;9.1;24.8;5.9
Mika Kröner;Bamberg freakcity academy;A;Combo;2006;10;23.5;9.2;2.3;1.4;1.2;0.0;2.2;2.3;6.2;16.7;3.1
Jenö Pildner;Team Urspring;A;Wing;2006;11;20.9;9.2;2.7;1.5;1.4;0.5;2.2;2.0;7.1;20.8;4.5
Aurel Bucur;Team Bonn/Rhöndorf;B;Combo;2006;13;22.3;9.2;2.2;1.6;1.4;0.3;1.6;2.2;7.4;20.1;5.7
Michel Schillmöller;Young Rasta Dragons;A;Point;2007;7;21.2;9.1;1.3;2.0;1.3;0.0;2.1;1.6;7.7;22.9;6.7
Jonas Zilinskas;ratiopharm Ulm;B;Forward;2006;9;23.6;9.1;7.3;2.4;1.1;1.0;1.8;2.4;13.6;27.5;8.3
Marvin Eßer;Eintracht Frankfurt;B;Forward;2005;13;26.5;9.1;7.3;0.9;1.4;0.8;2.2;2.5;12.8;24.2;9.2
Matthes Tilsen;Rostock Seawolves;B;Wing;2006;10;23.4;9.0;4.4;2.0;1.6;0.4;3.4;3.2;9.3;18.5;4.6
Marko Volf;FC Bayern München;A;Combo;2009;2;20.3;9.0;1.5;0.0;0.0;0.0;2.0;1.5;3.0;12.8;1.1
Martin Kalu;FC Bayern München;A;Wing;2005;2;28.2;9.0;6.0;2.0;0.5;0.0;4.5;3.0;2.5;1.4;-0.8
Teo Milicic;Orange Academy;B;Point;2008;1;21.5;9.0;1.0;8.0;4.0;0.0;2.0;1.0;13.0;36.3;9.1
Noah Terence Stansbury Daleiden;Orange Academy;B;Forward;2008;1;16.2;9.0;2.0;1.0;0.0;0.0;2.0;2.0;4.0;16.1;1.8
